Nombre;Movimiento;Tipo;PP;Precision;Damage;Efecto
Anulacion;Estado;Normal;3;3;-;Impide el uso de un movimiento.  Este curioso movimiento afecta de una forma muy determinada a la mente del Pokemon rival, eliminando momentaneamente de su memoria la ejecucion de un movimiento concreto. La PJ que utilice Anulacion escribira en un papel, o de cualquier otra forma que pueda ocultar, el movimiento que desea anular. Si mientras Anulacion este activo el rival intenta usar ese movimiento, la PJ revelara su papel y el Pokemon afectado se quedara en blanco. Anulacion se mantiene activo tantos turnos como el usuario desee, pero al final de su turno debera gastar 3 PP para mantenerlo un asalto mas.
Aranazo;Fisico ;Normal ;1;3;2A+B;Gracias a sus garras, el Pokemon propina un aranazo al objetivo.
Armadura acida;Estado;Veneno;3;0;-;Bonifica la Defensa igual a I tantos turnos como I.  El cuerpo del usuario supura un acido que se solidifica en su piel y ofrece una defensa adicional de forma momentanea. Durante tantos turnos como I, el Pokemon adquiere un bonificador a su Defensa igual a I.
Aromaterapia;Estado;Planta;6;0;-;Sana los estados alterados y los evita durante tantos turnos como A.  Evaporando los aceites esenciales que segrega su cuerpo, el Pokemon crea un rico aroma con propiedades sanadoras. Cualquier estado alterado que posean los Pokemon en el campo de batalla sanara inmediatamente. Esto no incluye los cambios de caracteristicas. Aromaterapia se mantendra en el ambiente tantos turnos como A, en los cuales no se podran adquirir estados alterados
Asalto estelar;Fisico ;Lucha;6;3;8A;El usuario penaliza su Impulso igual a A en el siguiente asalto.  Cuando un Sirfetch'd puede realizar Asalto estelar, hablamos de un Pokemon realmente peligroso. Utilizando su puerro a modo de lanza, y haciendo un movimiento de justa, ataca al Pokemon ensartandolo y sometiendolo a un gran damage. Sin embargo, este movimiento exige mucho del Pokemon y lo dejara cansado, por lo que en el siguiente asalto tendra un penalizador a su Impulso igual a A.
Ascuas;Especial;Fuego;2;3;2A+B;Con D6 quema 1 tantos turnos como B.  Al generar fuego en su interior, el Pokemon puede lanzar una pequena bola de fuego que impacta en el rival. Si obtiene un doble 6, el objetivo adquirira el estado quemado y perdera 1 PS al final de su turno durante tantos turnos como B.
Ataque ala;Fisico;Volador;2;3;3A+B;Este sencillo ataque se trata de un golpe con una extremidad alada del Pokemon.
Ataque arena;Estado;Tierra;4;4;-;Penaliza la Precision igual a B tantos turnos como I.  El Pokemon provoca que el polvo se convierta en una pequena nube alrededor de su objetivo. Durante tantos turnos como I, el Pokemon rival tendra un penalizador a su Precision igual a B.
Ataque furia;Fisico;Normal;3;8;I;Realiza tantos ataques como I en un mismo turno.  De forma rapida y usando habitualmente alguna parte del cuerpo punzante, el Pokemon ataca con gran velocidad tantas veces como puede. En la primera prueba se calculara el primer ataque y, en caso de acertar, el resultado de I dictara cuantas veces mas atacara. Cada ataque tiene su propia precision, pero el Pokemon no parara de atacar, aunque falle algun ataque a partir del segundo
Ataque rapido;Fisico;Normal;2;3;2A+B;Bonifica el Impulso igual a B en el siguiente asalto.  Este golpe se ejecuta tan rapido que el Pokemon usuario puede adquirir ventaja cuando realice su siguiente movimiento. En el calculo de Impulso del siguiente asalto, el Pokemon tendra un bonificador igual a B.
Atizar;Fisico;Normal;3;9;4A+I;El usuario ejecuta un golpe fuerte y seco, normalmente con su cola.
Autodestruccion;Fisico;Normal;10;3;9A+1;Tras ejecutar el movimiento, el usuario se debilita.  Concentrando todo su poder dentro de su cuerpo, el usuario brilla y genera un gran estallido. Al usar todo su poder para ello, el Pokemon perdera todos sus PS y caera debilitado tras ejecutar Autodestruccion.
Avalancha;Fisico ;Roca;5;7;4A+B;Con D3 penaliza el Impulso igual a B en el siguiente asalto.  Dependiendo del Pokemon y de sus circunstancias de combate, este movimiento puede ejecutarse de distintas formas, pero el resultado siempre sera el mismo: grandes rocas que se dirigiran contra su rival como si de una avalancha se tratase. Este movimiento es tan impresionante que, si el usuario obtiene un doble 3, conseguira que su rival se amedrente y obtenga un penalizador a su Impulso igual a B en el siguiente asalto.
Avivar;Estado;Normal;3;0;-;Bonifica el Ataque y Ata. Especial igual a B tantos turnos como I.  Esta tecnica permite que el Pokemon concentre sus sentidos en su poder de ataque, por lo que su Ataque y Ataque especial obtendran un bonificador igual a B durante tantos turnos como I.
Beso amoroso;Estado;Normal;5;9;-;Duerme tantos turnos como I.  Este es un movimiento caracteristico de Jynx. Concentrando la energia en sus labios, este Pokemon puede lanzar un beso que se convierte en una onda. Al entrar en contacto con el objetivo, este adquirira el estado dormido durante tantos turnos como I.
Bofeton lodo;Especial ;Tierra;5;3;A;Penaliza la Precision igual a B tantos turnos como B.  La energia que lanza el Pokemon en forma de proyectiles se mezcla con tierra, dando como resultado una pequena cantidad de disparos de lodo. Siempre que el movimiento acierte, el Pokemon afectado vera penalizada su Precision tanto como B durante el mismo numero de turnos.
Bola sombra;Especial;Fantasma;4;3;4A+1;Con D4 penaliza la Def. Especial igual a B tantos turnos como B.  Esta bola creada de energia fantasmal se lanza directamente contra el rival. Si el usuario obtiene un doble 4 en la prueba, el objetivo vera su Defensa especial penalizada tantos puntos como B durante el mismo numero de turnos.
Bomba acida;Especial;Veneno;3;3;2A+B;Penaliza la Def. Especial igual a I tantos turnos como B.  Utilizando el acido de su cuerpo, el Pokemon lo lanza en forma de proyectiles que explotan al contacto con el rival. Ademas del damage infligido, este movimiento penaliza la Defensa especial del objetivo tanto como I durante tantos turnos como B.
Bomba germen;Fisico;Planta;4;3;4A+I;El Pokemon lanza unas enormes semillas que explotan al contacto con el objetivo.
Brillo magico;Especial;Hada ;4;3;4A+I;La luz que emite el cuerpo del Pokemon se hace tangible y golpea a todo quien le rodee.
Cabeza de hierro;Fisico;Acero;4;3;4A+I;Con D6 penaliza el Impulso igual a B en el siguiente asalto.  La parte frontal de la cabeza del Pokemon se vuelve tan dura como el hierro, propinando un cabezazo que a menudo deja aturdido al rival de forma momentanea. Si obtiene un doble 6, el objetivo quedara aturdido y su Impulso se vera penalizado tanto como B en el siguiente asalto.
Cabezazo;Fisico ;Normal;5;3;7A+B;Aumenta la Defensa igual a B en el primer turno y ataca en el segundo.  Cabezazo se ejecuta en dos turnos. En el primero, el Pokemon adopta una postura adecuada para propinar el cabezazo, adquiriendo un bonificador a Defensa igual a B.  En el segundo turno pierde este bonificador y ataca con toda su fuerza.
Cabezazo zen;Fisico;Psiquico;4;7;4A;Con D4 penaliza el Impulso igual a B en el siguiente asalto.  Aunque los movimientos psiquicos son habitualmente de caracter especial, al realizar este movimiento el Pokemon con- centra su poder psiquico en su cabeza para propinar un duro ataque. Gracias a este poder psiquico, si el usuario obtiene un doble 4, el objetivo quedara atontado y su Impulso se vera penalizado tanto como B en el siguiente asalto.
Canto;Estado;Normal;4;11;-;Duerme tantos turnos como I.  El Pokemon utiliza su voz para entonar una nana magica que adormece a quien la escucha. Quien se vea afectado por Canto adquirira el estado dormido durante tantos turnos como I.
Canto helado;Fisico;Hielo;2;3;2A+B;Aumenta el Impulso igual a B en el siguiente asalto.  Con este movimiento, el Pokemon lanza pequenos trozos de hielo de forma muy rapida. Ademas del damage infligido, el usuario adquiere un bonificador a su Impulso igual a B en su siguiente asalto.
Cara susto;Estado;Normal;3;3;-;Penaliza la Velocidad igual a I tantos turnos como I.  De la manera mas terrorifica que se le ocurre, el Pokemon consigue asustar al rival con su espantoso rostro, haciendo que el miedo lo desconcierte. Durante tantos turnos como I, el objetivo tendra un penalizador a su Velocidad igual a l.
Carambano;Fisico;Hielo;4;3;BA;Realiza tantos ataques como I en un mismo turno.  El Pokemon lanza una serie de pequenos tempanos que vuelan hacia el rival con gran velocidad. En la primera prueba, el resultado de I sera el numero de ataques adicionales que se realizaran ademas del primero en el mismo turno. Cada ataque tiene su propio calculo de damage y precision.
Carantona;Fisico ;Hada;5;7;5A+B;Con D6 penaliza el Ataque igual a B tantos turnos como B.  Al ocultarlo bajo la accion de un jugueteo inocente, el rival no espera recibir una buena somanta de tortas. Este movimiento puede dejar tan perplejo y exhausto al objetivo que, si el usuario obtiene un doble 6 en su prueba, su Ataque se vera penalizado tanto como B y durante tantos turnos como B.
Carga;Estado;Electrico;3;0;-;Bonifica la Def. Especial igual a B y potencia el siguiente ataque electrico.  Una buena tactica para los Pokemon de tipo electrico es cargar su cuerpo con electricidad y mantenerla preparada para usarla como defensa o como una mejora de ataque. Al utilizar el movimiento, el Pokemon obtiene un bonificador a su Defensa especial igual a B y se mantendra tantos turnos como I. No obstante, si utiliza un movimiento de tipo electrico antes de que sus efectos desaparezcan, el damage de dicho ataque se vera bonificado tantos puntos como la mitad del nivel del Pokemon redondeando a la baja.
Carga toxica;Especial;Veneno;5;3;3A+I;El damage sera 7A+B si el objetivo esta envenenado.  El veneno que el Pokemon expulsa en este ataque se refuerza al contacto con el veneno del organismo del objetivo. Es por esta razon que, si el rival sufre el estado envenenado, el damage del ataque sera de 7A+B.
Cascada;Fisico;Agua;4;3;4A+1;Con D4 penaliza el Impulso igual a B en el siguiente asalto.  El Pokemon crea un torrente de agua alrededor del objetivo y nada en el para atacar por sorpresa despues. Si obtiene un doble 4, el Pokemon afectado quedara conmocionado por el movimiento y obtendra un penalizador a su Impulso igual a B en el siguiente asalto.
Cautivapor;Especial ;Hada;5;6;5A+I;Con D4 confunde tantos turnos como B.  Dadas sus caracteristicas, los Weezing de Galar pueden expulsar un chorro de vapor saturado de olores muy dulces. Ademas del damage, si obtiene un doble 4 en la prueba el objetivo adquirira el estado confuso durante tantos turnos como B.
Chirrido;Estado ;Normal;3;8;-;Penaliza la Defensa igual a I tantos turnos como I.  Produciendo un sonido muy agudo y desagradable, el Pokemon consigue que todo aquel que lo oiga pierda atencion en su defensa. Durante tantos turnos como I, los Pokemon afectados tendran un penalizador a su Defensa igual a I.
Chispa;Fisico;Electrico;3;3;3A+I;Con D3 paraliza tantos turnos como B.  El Pokemon envuelve su propio cuerpo con una ligera corriente electrica y placa al objetivo. Si obtiene un doble 3, el rival adquirira el estado paralizado durante tantos turnos como B.
Chupavidas;Fisico;Bicho;5;3;4A+1;El usuario recupera tantos PS como la mitad del damage.  A traves de una flebotomia, el Pokemon absorbe las energias de su rival provocandole un gran damage y fortaleciendose a si mismo al mismo tiempo. El usuario recupera tantos PS como la mitad del damage infligido redondeado a la baja.
Chuzos;Fisico ;Hielo;5;7;5A;Con D3 penaliza el Impulso igual a B en el siguiente asalto.  Mediante un aire congelado, el Pokemon crea enormes carambanos de hielo que se elevan a gran altura y se precipitan contra el objetivo. En esta situacion tan peligrosa, si el movimiento acierta y obtiene doble 3 en la prueba, el objetivo quedara amedrentado por la situacion y su Impulso obtendra un penalizador igual a B en el siguiente asalto.
Ciclon;Especial ;Dragon;3;3;2A+B;Con D4 penaliza el Impulso igual a B en el siguiente asalto.  Al girar sobre si mismo concentrando su energia, el Pokemon consigue crear un torbellino que dirige hacia su objetivo para atraparlo y danarlo. Si el usuario obtiene un doble 4, el Pokemon afectado quedara tan atontado por el ciclon que su Impulso obtendra un penalizador igual a B en el siguiente asalto.
Clonatipo;Estado;Normal;3;0;-;Copia los tipos del Pokemon objetivo.  Al utilizar Clonatipo, el Pokemon usa su energia para analizar la composicion del cuerpo del objetivo, pudiendo desvelar sus tipos y modificar su propio cuerpo para copiarlos. De esta manera, el usuario adquiere los mismos tipos que el objetivo, ya sean uno o dos. Este movimiento se mantiene activo tantos turnos como el usuario desee, pero al final de su turno debera gastar 3 PP para mantenerlo un turno mas.
Cola ferrea;Fisico;Acero;4;9;6A;Con D3 penaliza la Defensa del objetivo igual a B tantos turnos como B.  El Pokemon endurece su cola y golpea con ella como si lo hiciera con una extremidad de hierro. Si obtiene un doble 3, el movimiento habra dejado sensible el cuerpo del objetivo y obtendra un penalizador a su Defensa igual a B durante tantos turnos como B
Colmillo hielo;Fisico;Hielo;4;6;3A+I;Con D6 congela tantos turnos como B y si B+I=7 penaliza el Impulso igual a B en el siguiente asalto.  Con este movimiento, el Pokemon ejecuta un mordisco con sus dientes helados. Si obtiene un doble 6, el objetivo adquirira el estado congelado durante tantos turnos como B. Por otro lado, si la suma de B e I es exactamente 7, el Pokemon rival se resentira del damage y obtendra un penalizador a su Impulso igual a B en el siguiente asalto.
Colmillo igneo;Fisico;Fuego;4;6;3A+1;Con D6 quema 1 tantos turnos como B y si B+I=7 penaliza el Impulso igual a B en el siguiente asalto.  Tras llenar su boca de fuego, el Pokemon se lanza a por el rival y le propina un mordisco. Si obtiene un doble 6, el objetivo adquirira el estado quemado y perdera 1 PS al final de cada turno durante tantos turnos como B. Por otro lado, si la suma de B e I es exactamente 7, el Pokemon rival se resentira del damage y obtendra un penalizador a su Impulso igual a B en el siguiente asalto.
Colmillo rayo;Fisico;Electrico;4;6;3A+I;Con D6 paraliza tantos turnos como B y si B+I=7 penaliza el Impulso igual a B en el siguiente asalto.  Antes de morder al objetivo, el Pokemon genera una corriente electrica en su propia boca. Si obtiene un doble 6, el objetivo adquirira el estado paralizado durante tantos turnos como B. Por otro lado, si la suma de B e I es exactamente 7, el Pokemon rival se resentira del damage y obtendra un penalizador a su Impulso igual a B en el siguiente asalto.
Colmillo veneno;Fisico ;Veneno;4;3;2A+I;Con D3 envenenara gravemente igual a B tantos turnos como B.  Aunque el mordisco que ejecuta el usuario puede ser doloroso, el verdadero peligro reside en el potente veneno que inocula a traves de el. Si obtiene un doble 3, el objetivo adquirira el estado envenenado durante tantos turnos como B. Aunque en el primer turno perdera tantos PS como B, en los siguientes (si los hubiera) el damage se multiplicara por 2 con respecto al damage del anterior turno.
Comesuenos;Especial;Psiquico;4;3;6A;El usuario recupera tantos PS como la mitad del damage. Solo funciona contra objetivos dormidos.  El usuario es capaz de lanzar una proyeccion psiquica de si mismo que se introduce en los suenos del objetivo y se alimenta de su energia. De esta forma, el Pokemon recuperara tantos PS como la mitad del damage infligido redondeado a la baja. Sin embargo, este movimiento solo funcionara mientras el objetivo sufra el estado dormido.
Confusion;Especial ;Psiquico;2;3;2A+I;Con D6 confunde tantos turnos como B.  Este movimiento ataca directamente a la mente del objetivo a traves de los poderes psiquicos del Pokemon. Si obtiene doble 6, el objetivo adquirira el estado confuso durante tantos turnos como B.
Constriccion;Fisico;Normal;3;7;I;Repite el mismo damage tantos turnos como I.  Ya sea con su propio cuerpo o con una parte flexible del mismo, el usuario atrapa al Pokemon enrollandose alrededor del mismo. Esto no evita que tanto el usuario como el objetivo puedan utilizar movimientos, pero este ultimo sufrira el damage infligido por Constriccion nuevamente al final de su turno durante tantos turnos como I.
Cornada;Fisico;Normal;2;3;3A+I;El Pokemon lanza una punzada utilizando su cuerno.
Corpulencia;Estado;Lucha;3;0;-;Bonifica el Ataque y la Defensa igual a B tantos turnos como I.  Al utilizar parte de su energia para fortalecer su cuerpo, el Pokemon crece en tamano y hace que sus musculos se vuelvan mas duros. Esto le proporciona un bonificador a su Ataque y Defensa igual a B durante tantos turnos como I.
Corte furia;Fisico;Bicho;3;6;2A+B;Su damage se duplica en cada turno posterior.  Utilizando sus garras cortantes o algun tipo de arma de estas caracteristicas, el Pokemon ataca sin cesar y se crece en cada turno. Aunque en el primer ataque su damage sea el original, si lo ejecuta con exito una segunda vez, este se multiplicara por 2, multiplicandose hasta por 4 una tercera vez. Esta consecucion termina cuando el Pokemon deja de usar Corte furia o si falla un ataque.
Cuchillada;Fisico;Normal;3;3;4A;Con D5 sera un golpe critico.  Este aranazo esta cargado con la energia del Pokemon, lo que hace que sus garras sean especialmente afiladas. Si obtiene un doble 5, el movimiento se considerara un golpe critico igual que si hubiese obtenido un resultado triple.
Danza aleteo;Estado ;Bicho;5;0;-;Bonifica Ata. Especial, Def. Especial y Velocidad igual a B tantos turnos como I.  Tras realizar un pequeno baile con sus alas, el Pokemon no solo adquiere soltura fisica, sino la relajacion necesaria para potenciar sus poderes especiales. Durante tantos turnos como I, el usuario adquiere un bonificador igual a B a Ataque especial, Defensa especial y Velocidad.
Danza dragon;Estado;Dragon;3;0;-;Bonifica Ataque y Velocidad igual a B tantos turnos como I.  Durante un momento, el Pokemon rompe sus propios limites y tanto su fuerza como sus sentidos se vuelven mas vivos. Durante tantos turnos como I, el Pokemon bonifica su Ataque y su Velocidad igual a B.
Danza espada;Estado;Normal;3;0;-;Bonifica Ataque igual a I tantos turnos como l.  Tras realizar esta danza guerrera, el Pokemon adquiere una fuerza sobrenatural. Durante tantos turnos como I, el Pokemon adquiere un bonificador a su Ataque igual a I.
Danza lluvia;Estado;Agua;6;0;-;Genera una lluvia que dura tantos turnos como A.  De formas muy diversas, un Pokemon puede canalizar su energia para crear un aguacero sobre el campo de batalla. Esta lluvia torrencial se mantendra durante tantos turnos como A excepto si es usado en interiores, donde durara tantos turnos como B
Danza petalo;Especial ;Planta;5;3;6A+I;Ataca 2 o 3 turnos y causa confusion al usuario.  Este ataque se ejecuta realizando un baile en el que el Pokemon gira sobre si mismo a gran velocidad y lanza petalos que danan al rival. Si en la primera prueba de pokedados la suma es de 10 o menos, Danza petalo se realizara obligatoriamente una segunda vez en el siguiente asalto, mientras que si se obtiene 11 o mas, se ejecutara una tercera vez. Al terminar este baile, el Pokemon estara desorientado y adquirira el estado confuso tantos turnos como el resultado de B del ultimo ataque.
Danza pluma;Estado;Volador;3;3;-;Penaliza el Ataque igual a I tantos turnos como I.  El Pokemon se deshace de algunas de sus plumas y las dirige hacia el rival para que dificulten sus movimientos y lo agoten fisicamente. Durante tantos turnos como I, el objetivo obtiene un penalizador a su Ataque igual a l.
Defensa ferrea;Estado;Acero;3;0;-;Aumenta la Defensa igual a I tantos turnos como I.  El cuerpo del Pokemon se endurece como el mismo hierro, adquiriendo asi un bonificador a su Defensa igual a I durante el mismo numero de turnos.
Demolicion;Fisico ;Lucha;4;3;4A+B;Elimina efectos de barreras defensivas.  Igual que las personas que llegan a hacer cosas increibles a traves de las artes marciales, el Pokemon que usa Demolicion concentra mucha de su energia en su mano y su golpe no solo provocara damage, sino que destruira las barreras magicas que protegian al objetivo. Si el rival estaba bajo los efectos de Reflejo, Pantalla de luz o Velo aurora, estos quedaran eliminados tras sufrir el damage del movimiento.
Derribo;Fisico;Normal;3;8;5A+B;El usuario pierde PS igual a BA.  Al ejecutar este movimiento, el Pokemon ataca de una forma tan brusca que su propia integridad se ve afectada. Por esta razon, el usuario pierde tantos PS como BA. Este damage es fijo y el usuario no podra mitigarlo con sus defensas.
Desarrollo;Estado;Normal;3;0;-;Aumenta el Ataque y el Ata. Especial igual a B tantos turnos como I.  Gracias a la clorofila de su organismo, el Pokemon puede adquirir mayor fuerza, aumentando su Ataque y Ataque especial igual a B tantos turnos como I. Si hay un sol imponente en el campo de batalla, este aumento sera igual a l.
Descanso;Estado;Normal;6;0;-;Cura 2A+B +1 por nivel por turno, pero adquiere el estado dormido durante tantos turnos como I.  Para curar sus heridas de forma muy eficaz, el Pokemon puede recurrir a este movimiento. Durante tantos turnos como I, el Pokemon recuperara en cada turno tantos PS como 2A+B +1 por nivel. No obstante, el cuerpo del Pokemon necesita ahorrar tantas energias que adquirira el estado dormido durante todos estos turnos. Al tener que concentrar su energia para sanar sus heridas, el usuario no podra realizar el movimiento Ronquido.
Deseo cura;Estado ;Psiquico;20;0;-;Sana todos los PS, PP y estados alterados de un aliado, pero cae debilitado.  El Pokemon concentra sus ultimas energias para ofrecerlas a otro ser y, de esta manera, sanar cualquier problema que sufra su cuerpo. El objetivo de Deseo cura sanara todos sus PS, PP y cualquier estado alterado que sufra. Sin embargo, este movimiento deja sin energia al usuario, perdiendo asi todos sus PS y cayendo debilitado.
Deslumbrar;Estado;Normal;4;3;-;Paraliza tantos turnos como I.  La mirada del Pokemon emite luces de distintos colores que emboban a quien las mira fijamente, afectando a partes de su cerebro e impidiendole moverse con normalidad. Durante tantos turnos como I, el objetivo adquirira el estado paralizado.
Destructor;Fisico;Normal;1;3;2A+B;Se trata de un simple golpe.  ¡Quizas su nombre suene demasiado alarmista!
Disparo demora;Estado;Bicho;2;6;-;Penaliza la Velocidad igual a I tantos turnos como I.  Con este movimiento caracteristico de los tipo bicho, el Pokemon lanza una seda pegajosa que se enrolla en el cuerpo del rival y dificulta sus movimientos. El objetivo obtiene un penalizador a su Velocidad igual a I durante el mismo numero de turnos.
Dia de pago;Fisico;Normal;2;3;2A+B;Dia de pago es un movimiento caracteristico de Meowth. Para atacar utiliza la moneda de su cabeza como proyectil, la cual volvera a el como un bumeran.
Dia soleado;Estado;Fuego;6;0;-;Genera potentes rayos de sol que duran tantos turnos como A.  Ya sea a traves de su cuerpo o proyectandolos en el cielo, el campo de batalla se ve envuelto en potentes rayos de sol. Esta condicion se mantendra durante tantos turnos como A excepto si es usado en interiores, donde durara tantos turnos como B.
Doble equipo;Estado;Normal;4;0;-;Bonifica la Evasion igual a B tantos turnos como I.  Este movimiento crea la falsa ilusion de que el Pokemon se clona varias veces, pero solo son ilusiones. No obstante, quien quiera atacar debera decidirse por una de ellas. A efectos del juego, el usuario gana un bonificador a su Evasion igual a B durante tantos turnos como I.
Doble filo;Fisico;Normal;4;3;6A+I;El usuario pierde PS igual a 2A+B.  El Pokemon ejecuta un placaje tras cargar su cuerpo con mucha energia. Este golpe dana tambien el cuerpo del usuario, perdiendo asi tantos PS como 2A+B. Este damage es fijo y no puede reducirse con sus defensas.
Doble golpe;Fisico;Normal;5;7;2A;Ataca 2 veces en el mismo turno.  ¿Por que golpear con una extremidad cuando puedes hacerlo con dos a la vez? Esta es la filosofia del Pokemon que aprende este movimiento. En un mismo turno, el Pokemon realizara dos ataques en los que se calculara la precision y el damage por separado.
Doble patada;Fisico ;Lucha;2;3;IA;Ataca 2 veces en el mismo turno.  Este ataque digno de un artista marcial o de un fuerte cuadrupedo hace que el Pokemon golpee propinando una patada con cada una de sus piernas. Se ejecutaran dos ataques en el mismo turno, haciendo su propio calculo de precision y damage para cada uno.
Dragoaliento;Especial;Dragon;3;3;3A+B;Con D3 paraliza tantos turnos como B.  Este movimiento consiste en lanzar un rayo de la energia ancestral de los dragones. Si el usuario obtiene un doble 3, el objetivo quedara paralizado durante tantos turnos como B.
Drenadoras;Estado;Planta;6;7;-;Absorbe tantos PS como B cada asalto.  Al expulsar sus pequenas semillas, el Pokemon infecta a su rival y estas conectan a ambos Pokemon bajo tierra. Al finalizar cada asalto, el Pokemon afectado pierde tantos PS como B, los cuales recuperara el usuario.
Dulce aroma;Estado;Normal;3;3;-;Reduce la Evasion igual a B tantos turnos como I.  Gracias a este movimiento, el Pokemon puede invadir el ambiente de un olor empalagoso que embota los sentidos.  Los Pokemon afectados son penalizados en su Evasion tantos puntos como B durante tantos turnos como I.
Eco metalico;Estado;Acero;2;8;-;Penaliza la Def. Especial igual a I tantos turnos como I.  Haciendo vibrar con mucha rapidez una parte metalica de su cuerpo, el usuario provoca un sonido que entra con mucha profundidad en los oidos y la mente de los Pokemon cercanos. Durante tantos turnos como I, los Pokemon afectados tendran un penalizador a su Defensa especial igual a l.
Electrocanon;Especial ;Electrico;5;11;6A+I;Paraliza tantos turnos como B.  Cuando usa Electrocanon, el Pokemon libera una gran cantidad de energia electrica en forma de rayo, lo cual equipara su peligrosidad con la dificultad de apuntar bien. Si acierta, siempre paralizara al objetivo durante tantos turnos como B.
Enfado;Fisico;Dragon;5;3;6A+I;Ataca tantos turnos como I y despues adquiere confusion tantos turnos como I.  El Pokemon cede a uno de los sentimientos mas destructivos: la ira. De esta forma, el usuario comienza a atacar sin poder parar durante tantos turnos como el resultado de I en la primera prueba (sin contar el primer ataque). Una vez termina esta voragine de brutales golpes, el Pokemon puede tardar en volver en si mismo. Por ello, el ultimo resultado de I dictara los turnos en los que el Pokemon sufrira el estado confuso una vez los ataques hayan terminado.
Enrosque;Estado;Veneno;3;0;-;Bonifica Ataque, Defensa y Precision igual a B tantos turnos como I.  Cuando utiliza Enrosque, el Pokemon atornilla su cuerpo sobre si mismo y adopta una postura de combate que, dada sus caracteristicas fisicas, lo convierte en un gran peligro. Durante tantos turnos como I, el Pokemon adquiere un bonificador a Ataque, Defensa y Precision igual a B.
Envite igneo;Fisico ;Fuego;4;3;6A+I;Con D6 quema 1 tantos turnos como B y el usuario pierde PS igual a 2A+B.  El Pokemon hace que su cuerpo se envuelva en fuego y realiza un placaje con toda su fuerza. Si obtiene un doble 6, el objetivo adquirira el estado quemado y perdera 1 PS al final de cada turno durante tantos turnos como B. Ademas, el impacto sera tan fuerte que el propio usuario perdera 2A+B. Este damage sera fijo y no podra reducirse con defensas.
